,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
515,LUAD,5,None,edgerqlf,0.1,1,538.5,538.5,0.42213590549887964,0.41870715354164134,0.41870715354164134,0.42213590549887964,0.9463272049478946,0.9435721990565582,0.9435721990565582,0.9463272049478946,0.21027846027846028,0.21027846027846028,0.1674549045915325,0.1674549045915325,42
516,LUAD,6,None,DESeq2,0.001,1,401.0,401.0,0.4428632909260609,0.4428632909260609,0.4428632909260609,0.4428632909260609,0.9504901960784313,0.9504901960784313,0.9504901960784313,0.9504901960784313,0.22218952324896998,0.22218952324896998,0.2745593985680951,0.2745593985680951,43
517,LUAD,6,None,DESeq2,0.01,1,633.0,633.0,0.5019091225909758,0.5019091225909758,0.5019091225909758,0.5019091225909758,0.9495845552297165,0.9495845552297165,0.9495845552297165,0.9495845552297165,0.2868771583621115,0.2868771583621115,0.3338590126759793,0.3338590126759793,43
518,LUAD,6,None,DESeq2,0.05,1,858.5,858.5,0.5489295953709751,0.5489295953709751,0.5489295953709751,0.5489295953709751,0.9403088431343505,0.9403088431343505,0.9403088431343505,0.9403088431343505,0.3506521739130435,0.3506521739130435,0.3755286587597877,0.3755286587597877,43
519,LUAD,6,None,DESeq2,0.1,1,1016.5,1016.5,0.5740342177410177,0.5740342177410177,0.5740342177410177,0.5740342177410177,0.9393470808880273,0.9393470808880273,0.9393470808880273,0.9393470808880273,0.38288288288288286,0.38288288288288286,0.392078006687807,0.392078006687807,43
520,LUAD,6,None,edgeR LRT,0.001,1,399.0,399.0,0.4337756562835218,0.4337756562835218,0.4337756562835218,0.4337756562835218,0.9476734509806026,0.9476734509806026,0.9476734509806026,0.9476734509806026,0.22101236021188936,0.22101236021188936,0.24778948327950828,0.24778948327950828,43
521,LUAD,6,None,edgeR LRT,0.01,1,722.5,722.5,0.5332315435428805,0.5332315435428805,0.5332315435428805,0.5332315435428805,0.9341006021615612,0.9341006021615612,0.9341006021615612,0.9341006021615612,0.3302910705476073,0.3302910705476073,0.3345777245152959,0.3345777245152959,43
522,LUAD,6,None,edgeR LRT,0.05,1,1131.0,1131.0,0.6129430293817475,0.6129430293817475,0.6129430293817475,0.6129430293817475,0.9058623110347248,0.9058623110347248,0.9058623110347248,0.9058623110347248,0.4465217391304348,0.4465217391304348,0.38789258652345776,0.38789258652345776,43
523,LUAD,6,None,edgeR LRT,0.1,1,1430.5,1430.5,0.649464303368666,0.649464303368666,0.649464303368666,0.649464303368666,0.8895139345394996,0.8895139345394996,0.8895139345394996,0.8895139345394996,0.5145372645372646,0.5145372645372646,0.41117891751344504,0.41117891751344504,43
524,LUAD,6,None,edgerqlf,0.001,1,0.0,0.0,0.05166663891942828,0.0,0.0,0.05166663891942828,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43
