,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_method,median_mcc,median_mcc0,median_mcc0_method,median_mcc_method,median_prec,median_prec0,median_prec0_method,median_prec_method,median_rec,median_rec_method,median_rep,median_rep_method,id,lfc_mode,isSynthetic
454,LMAB,8,None,edgeR QLF,0.05,0,0.5,0.5,0.0385562646247735,0.0,0.0019459742433222,0.0381322554706662,0.9416311101130324,0.0,0.3333333333333333,0.9519199031796676,0.0,5.3356098602070216e-05,0.0,0.0,75,post_hoc,False
455,LMAB,8,None,edgeR QLF,0.05,1,0.5,0.5,0.1103928415980089,0.0,0.0,0.1050800818231764,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,75,post_hoc,False
456,LMAB,9,None,DESeq2 Wald,0.05,0,457.5,457.5,0.1035835892807509,0.1035835892807509,0.1024265441721078,0.1024265441721078,0.8239263536388776,0.8239263536388776,0.8363274134790528,0.8363274134790528,0.0415004850706047,0.0407310704960835,0.0619313952526672,0.0619313952526672,76,post_hoc,False
457,LMAB,9,None,DESeq2 Wald,0.05,1,414.5,414.5,0.2615140069990584,0.2615140069990584,0.2631303337430808,0.2631303337430808,0.3427924230719711,0.3427924230719711,0.3448429435959236,0.3448429435959236,0.2227414330218068,0.2208588957055214,0.0683825630634141,0.0683825630634141,76,post_hoc,False
458,LMAB,9,None,edgeR LRT,0.05,0,261.5,261.5,0.0798689930803286,0.0798689930803286,0.0817803139011252,0.0817803139011252,0.8432415566261451,0.8432415566261451,0.8729960987443859,0.8729960987443859,0.0233911824943408,0.0235741049125728,0.0416666666666666,0.0416666666666666,76,post_hoc,False
459,LMAB,9,None,edgeR LRT,0.05,1,251.0,251.0,0.2260854476502884,0.2260854476502884,0.22600817099381,0.22600817099381,0.3743421052631579,0.3743421052631579,0.4008928571428571,0.4008928571428571,0.1479750778816199,0.1424501424501424,0.0439445491746747,0.0439445491746747,76,post_hoc,False
460,LMAB,9,None,edgeR QLF,0.05,0,1.5,1.5,0.0539769466542679,0.0071930678452689,0.007192616716929,0.0534011210458921,0.9473684210526316,0.647093023255814,0.7638888888888888,0.9606299212598424,0.0001077934677158,0.0001600682958062,0.0,0.0,76,post_hoc,False
461,LMAB,9,None,edgeR QLF,0.05,1,1.5,1.5,0.1630678879897695,0.0132909715815457,0.0123146330676768,0.1595734543787267,0.5128205128205128,0.142156862745098,0.142156862745098,0.5277777777777778,0.0015576323987538,0.0014245014245014,0.0,0.0,76,post_hoc,False
462,LMAB,10,None,DESeq2 Wald,0.05,0,524.0,524.0,0.1190808200790887,0.1190808200790887,0.1169233141883444,0.1169233141883444,0.8417443279098618,0.8417443279098618,0.8540424126624678,0.8540424126624678,0.0471057453918292,0.0463707571801566,0.0696650452295613,0.0696650452295613,77,post_hoc,False
463,LMAB,10,None,DESeq2 Wald,0.05,1,431.0,431.0,0.2964584248148401,0.2964584248148401,0.2972641050190721,0.2972641050190721,0.3540899729694942,0.3540899729694942,0.3562958553224353,0.3562958553224353,0.2694704049844236,0.2661042944785275,0.0764195507567723,0.0764195507567723,77,post_hoc,False
464,LMAB,10,None,edgeR LRT,0.05,0,271.0,271.0,0.0885098103504287,0.0885098103504287,0.0895307673573462,0.0895307673573462,0.861150609486589,0.861150609486589,0.888737922705314,0.888737922705314,0.0250080845100786,0.0248751040799333,0.0499207407909843,0.0499207407909843,77,post_hoc,False
465,LMAB,10,None,edgeR LRT,0.05,1,248.5,248.5,0.2624636189477041,0.2624636189477041,0.2592082195883979,0.2592082195883979,0.3889831939494663,0.3889831939494663,0.4092633928571428,0.4092633928571428,0.1721183800623053,0.1631054131054131,0.0524151281531074,0.0524151281531074,77,post_hoc,False
466,LMAB,10,None,edgeR QLF,0.05,0,5.0,5.0,0.0711788087730168,0.012167779922549,0.0124586626431358,0.0703365571300947,0.9500493788658456,0.8908219157747859,0.8993628185907047,0.9569893123126028,0.0003772771370054,0.0003734926902144,0.0,0.0,77,post_hoc,False
467,LMAB,10,None,edgeR QLF,0.05,1,5.0,5.0,0.2320510893467698,0.0559160403105369,0.0533069534475713,0.2219035785857148,0.5417259927226705,0.3053086135421464,0.3143939393939394,0.5555555555555556,0.0038940809968847,0.0035612535612535,0.0,0.0,77,post_hoc,False
468,LMAB,12,None,DESeq2 Wald,0.05,0,836.0,836.0,0.1506621746071232,0.1506621746071232,0.1472600808761205,0.1472600808761205,0.8581862636141364,0.8581862636141364,0.871374626460201,0.871374626460201,0.0794976824404441,0.0778590078328981,0.1093594681908548,0.1093594681908548,78,post_hoc,False
469,LMAB,12,None,DESeq2 Wald,0.05,1,626.0,626.0,0.3229777880887775,0.3229777880887775,0.3253328073537016,0.3253328073537016,0.3573424606151538,0.3573424606151538,0.3585052513128282,0.3585052513128282,0.3457943925233644,0.3427914110429447,0.1212121212121212,0.1212121212121212,78,post_hoc,False
470,LMAB,12,None,edgeR LRT,0.05,0,547.5,547.5,0.1269508421287701,0.1269508421287701,0.1284573597791025,0.1284573597791025,0.8719443037824743,0.8719443037824743,0.9,0.9,0.0530882828500592,0.0526124063280599,0.0970308222500622,0.0970308222500622,78,post_hoc,False
471,LMAB,12,None,edgeR LRT,0.05,1,456.0,456.0,0.3063798927869459,0.3063798927869459,0.3033578791389437,0.3033578791389437,0.3802243902439024,0.3802243902439024,0.3976178358910116,0.3976178358910116,0.2858255451713395,0.2699430199430199,0.1053274191821879,0.1053274191821879,78,post_hoc,False
472,LMAB,12,None,edgeR QLF,0.05,0,156.5,156.5,0.0917968298494098,0.0794464346742537,0.0808453019993013,0.0924452228346215,0.9418443599819624,0.9330239241882864,0.9437771292170744,0.951219512195122,0.0160612266896626,0.0160601856792231,0.0108559669289625,0.0108559669289625,78,post_hoc,False
473,LMAB,12,None,edgeR QLF,0.05,1,135.5,135.5,0.2621720694733737,0.2299162185409048,0.2236652268228435,0.2519826124837281,0.4683781869688385,0.4365869202863026,0.4464607696666838,0.4916666666666667,0.1137071651090342,0.1039886039886039,0.0126493386431517,0.0126493386431517,78,post_hoc,False
474,LMAB,15,None,DESeq2 Wald,0.05,0,1093.5,1093.5,0.1852671007046012,0.1852671007046012,0.1822971420492417,0.1822971420492417,0.8834730120166389,0.8834730120166389,0.8922302744311705,0.8922302744311705,0.1053142179583917,0.102976501305483,0.1458370843836274,0.1458370843836274,79,post_hoc,False
475,LMAB,15,None,DESeq2 Wald,0.05,1,673.0,673.0,0.3742202737034237,0.3742202737034237,0.3728933966380497,0.3728933966380497,0.3779019632142599,0.3779019632142599,0.3813137484928471,0.3813137484928471,0.4158878504672897,0.4125766871165644,0.1570311690003429,0.1570311690003429,79,post_hoc,False
476,LMAB,15,None,edgeR LRT,0.05,0,792.0,792.0,0.162080831725791,0.162080831725791,0.1657740341635181,0.1657740341635181,0.8889150292145753,0.8889150292145753,0.9147511331704008,0.9147511331704008,0.0768567424814056,0.0759263114071607,0.140147016483121,0.140147016483121,79,post_hoc,False
477,LMAB,15,None,edgeR LRT,0.05,1,547.0,547.0,0.3651819591614857,0.3651819591614857,0.3669557465380589,0.3669557465380589,0.39653813755061,0.39653813755061,0.4143300187662986,0.4143300187662986,0.367601246105919,0.3532763532763533,0.1495702860130548,0.1495702860130548,79,post_hoc,False
478,LMAB,15,None,edgeR QLF,0.05,0,400.5,400.5,0.1316004426251662,0.1288387358134665,0.1299001250232125,0.1326757520234146,0.9333333333333332,0.933130081300813,0.9455040680655102,0.9468806070170128,0.0401530667241565,0.0400704300501547,0.1038475192744371,0.1038475192744371,79,post_hoc,False
